ID-1,Voc,Jsc,PCE,FF,D_V0,D_J0,AB,contact_angle,PLQY_perov,PLQY_glass,t1_perov,t2_perov,t1_glass,t2_glass
59,0.907756178481051,18.8478333333333,11.90532,0.695841660802429,0.3141034245491028,194.5270004272461,"('A31', 'B3')",77.1,0.6034125336772882,1.622604067030694,1.665818245870208,6.501694993791227,1.7749523509116738,6.618325012662868
60,0.94342302163101,16.6973333333333,10.731912,0.681276668273161,0.5453540682792664,146.36078262329102,"('A32', 'B3')",90.0,1.0611496219487513,0.7818872776691216,2.131796772013764,6.2262401826519,2.4336133554004498,5.30985060236171
61,0.84852038621655,20.985000000000003,13.283459999999986,0.7460019416075684,0.7457088493817562,280.6656188964844,"('A33', 'B3')",66.6,0.5364626223078431,1.4177537788085692,1.958685340544036,6.782101348945185,1.6863989535702288,6.185261673626961
62,0.9615428551510352,20.081333333333333,14.57773333333332,0.7549684644950271,0.5179274082183838,272.3524169921875,"('A30', 'B4')",83.6,0.6644617063405537,1.5667679254093043,4.638121286127777,6.783619607997977,1.9768549529047348,6.575647504226011
63,0.7058614363363237,17.49721153846154,8.486099999999992,0.6870998397414236,0.8123644590377808,204.1861343383789,"('A31', 'B4')",76.1,1.1224007156050126,1.5569042210346098,4.284000269375321,6.566165972461445,2.1849270495258133,6.282958096643734
64,0.915808239694231,16.5699833333333,11.1779406666667,0.736605880810019,0.2237274944782257,202.92215728759768,"('A32', 'B4')",80.2,0.6630260950432887,1.53367576616205,3.8124236402053913,7.3866567051634835,4.280685807012206,6.580874893126198
65,0.841849308764966,20.654,12.9283866666667,0.74354250515771,0.6181590557098389,275.18902587890625,"('A33', 'B4')",77.8,0.6207048044763493,1.6183648398620267,3.8680711178989635,6.5044378629314314,3.8680711178989635,6.5044378629314314
66,0.952209510728935,21.2043333333333,15.5502666666667,0.770159546972405,0.74054354429245,331.91233825683594,"('A30', 'B5')",82.5,0.5380727346443241,1.4917893192704317,2.776954179749421,6.092237053930959,2.776954179749421,6.092237053930959
67,0.865490298753422,21.1306666666667,13.63248,0.745417296527251,0.6182990670204163,277.6234893798828,"('A31', 'B5')",91.2,0.5985162626673881,1.4619110048986643,2.3869262414277967,7.400773284098163,3.566994266123812,6.3072237421316535
68,0.770217471256775,18.9071666666667,10.3434,0.710270049431028,0.1641063541173935,232.4411163330078,"('A32', 'B5')",65.1,0.5636063015785159,1.5071976465821233,3.2204745462318978,6.987711829098064,3.5779478934066544,6.517183709463964
69,0.898407792802533,19.1761666666667,13.35054,0.77493187746119,0.7457088493817562,247.70818328857425,"('A33', 'B5')",80.6,0.6271257838884627,1.556013064208589,3.846951008684431,6.505933525788771,3.846951008684431,6.505933525788771
70,1.00027119822236,22.8285,18.13548,0.794207373394558,0.7336567044258118,378.1464080810547,"('A30', 'B6')",92.4,0.6126951923505842,1.3818254860865622,2.125847914493992,7.000817479427672,2.961140828784372,6.235841074830201
71,0.889731433965337,19.2,12.312,0.720723103085264,0.7484471797943115,220.3172302246093,"('A31', 'B6')",92.3,0.5886130718756097,1.2679304730337326,3.264231526588998,6.1651447076866015,3.264231526588998,6.1651447076866015
72,0.873747542709479,19.2873333333333,12.38628,0.73499221603026,0.7147552371025085,239.0922698974609,"('A32', 'B6')",95.3,0.849110754240745,1.5770248152504618,3.1896529661912973,6.227741476812155,3.312730400339825,6.259122467728835
73,0.889509428196043,20.2633333333333,13.4442,0.745887828282719,0.7646552920341492,256.01002502441406,"('A33', 'B6')",85.2,0.6003043127538287,1.169384411913362,3.092405160814252,6.116752682250139,3.092405160814252,6.116752682250139
74,0.889143706455206,21.6191666666667,14.3886,0.748527277011931,0.7288943529129028,281.88250732421875,"('A30', 'B7')",77.4,0.6551522872985377,1.5759516715757844,3.7618975468505083,6.465883414827127,3.7618975468505083,6.465883414827127
75,0.789912052621111,18.9088333333333,10.6733866666667,0.71459301814683,1.0877550840377808,245.9346618652344,"('A31', 'B7')",80.2,0.4770937071092534,1.4831315577532092,3.214867803470662,6.373388046633112,3.214867803470662,6.373388046633112
76,0.910768942183162,18.1595,12.0241753333333,0.72701471524772,0.6716845631599426,226.6268920898437,"('A32', 'B7')",92.5,0.7229357253348008,1.435019847455516,2.386006701133118,7.391612502516408,3.246490991901174,6.282976775140115
77,0.915712965742097,18.7986666666667,12.7255666666667,0.739248955967061,0.7782513499259949,238.14224243164065,"('A33', 'B7')",79.2,0.5507325529133206,1.7447158215957768,2.6181254935742233,7.482861890726881,3.1945831322991562,6.744730339129773
78,0.933897896156244,18.208333333333336,13.185199999999991,0.7753845255429885,0.6532506346702576,249.3000946044922,"('A30', 'B8')",94.9,0.6389387761652563,1.5396978405691617,4.081765780015241,5.967120623718465,4.081765780015241,5.967120623718465
79,0.72856073524625,15.723557692307692,7.92712307692307,0.6919887289601707,0.6911315321922302,174.71273803710938,"('A31', 'B8')",94.8,0.5472952896844744,1.4327824386358865,3.150596984114906,6.956840637672617,4.415582293202092,6.07182258967363
80,0.6923492051760907,16.685192307692308,8.32612307692307,0.7207529221693856,0.6799123287200928,218.86001586914065,"('A32', 'B8')",89.7,0.7224547145709733,1.540064355822416,3.912023005428146,5.400106512450071,4.048649602959971,6.265206151185283
81,0.6740831263516762,10.944038461538462,5.109199999999994,0.6925670681654947,0.8391420245170593,137.03339004516602,"('A33', 'B8')",111.0,0.4328903409555666,0.4044334417061869,2.906354462402774,5.186994667903771,2.906354462402774,5.186994667903771
82,0.6865457629583948,17.529326923076926,8.14974999999999,0.6771884693534668,0.7457088493817562,193.9578094482422,"('A30', 'B9')",98.6,0.5838693775789728,1.354033683991678,4.059407992341204,5.783455883378043,4.059407992341204,5.783455883378043
83,0.8122828013046043,17.239807692307693,10.468207692307686,0.7475369352062634,0.7728519439697266,239.3302230834961,"('A31', 'B9')",93.6,0.5811021650007446,1.3416638031181378,2.554899021608035,7.129001030613187,3.653770277000368,6.0913551299227775
84,0.7218069628179143,16.60798076923077,8.09776153846153,0.6755026905801205,0.5930888652801514,175.4158706665039,"('A32', 'B9')",85.6,0.8807805505162155,1.6297486561252814,3.912023005428146,5.395580184168247,4.065945087700403,6.263303019960951
85,0.7151387521362176,15.649038461538462,7.564630769230761,0.6759425170683063,0.7369089126586914,165.67908477783203,"('A33', 'B9')",92.1,0.6098029214821797,0.9542770028232068,3.912023005428146,7.658298345183371,4.614625344758847,6.312478634079945
86,0.8525817904709119,18.702596153846155,12.154361538461533,0.7622443284145063,0.6329440474510193,244.4916305541992,"('A30', 'B10')",86.3,0.4634725295677839,1.3524848313828282,3.912023005428146,7.8202508182147294,3.7736800558064014,6.700128221820461
87,0.7073830055582437,15.494038461538462,7.094199999999992,0.6472680591053853,0.9022797346115112,137.02317810058594,"('A31', 'B10')",92.1,0.484432081228493,1.326967249758646,3.651177586929925,7.16369123376117,3.912023005428146,5.2936062868179175
88,0.6816555461131346,17.426826923076923,8.10769999999999,0.6825184252379143,0.4661506712436676,196.921875,"('A32', 'B10')",86.0,0.5254240647688724,1.5128399711425866,3.3112726741341683,7.278104305067688,6.617576759665009,8.197593804284399
89,0.7668929676302785,15.116153846153846,7.543846153846146,0.6507538772000355,0.631700336933136,124.8127899169922,"('A33', 'B10')",76.0,0.5504271040394415,1.35441603184745,4.110873864173311,7.209887444146602,4.110873864173311,7.209887444146602
90,0.7417430252275974,18.60298076923077,10.26155769230768,0.7436648982261492,0.5100787878036499,258.09657287597656,"('A30', 'B11')",95.3,0.5325121391768158,0.9923109280502284,3.912023005428146,5.365929284958057,3.5686872687855304,6.32496809581828
91,0.7927912394561732,19.356634615384618,11.27526153846153,0.7347471832598043,0.3140197098255157,227.600814819336,"('A31', 'B11')",85.8,0.5535381396158505,1.6888339887870896,3.912023005428146,5.432935668272798,3.912023005428146,5.343673068268834
92,0.7827802436724588,15.12923076923077,7.77996153846153,0.6569324978720315,0.5610160827636719,128.9163475036621,"('A32', 'B11')",95.5,0.5412860097770961,1.084138042245926,3.420346200500916,6.450154416453444,3.420346200500916,6.450154416453444
93,0.7836764332702176,13.38346153846154,6.928096153846147,0.6605545136771773,0.6026217937469482,118.78337478637695,"('A33', 'B11')",77.5,0.5280380218477846,1.3503782165284088,-0.9675840262617056,0.3074846997479607,-0.9675840262617056,0.3074846997479607
94,0.9780512924744464,17.350333333333335,12.652975999999995,0.7456297541778804,0.5557070374488831,135.86166381835938,"('A30', 'B12')",95.8,0.4439681785992265,0.9482705697503784,3.17220341666977,6.1395827825604385,3.17220341666977,6.1395827825604385
95,1.0039247555896236,18.769,14.211539999999994,0.7542213881148225,0.5002891421318054,147.21249389648438,"('A31', 'B12')",69.6,0.5691045783782954,1.162177401393418,3.3555024224000256,6.2538672723743085,3.3555024224000256,6.2538672723743085
96,0.982431683483908,14.166883333333336,10.285701999999995,0.7390218180352649,0.5737015604972839,117.64452362060548,"('A32', 'B12')",94.2,0.6044185791938071,0.8727255164452474,3.100092288878234,6.140983086547454,3.100092288878234,6.140983086547454
97,0.9851939963917896,18.342166666666667,13.759339999999996,0.7614216310066139,0.5427629947662354,156.2816619873047,"('A33', 'B12')",97.1,0.3802322399845384,1.668001731022544,2.8027541365715076,6.573833786445484,2.821973947420524,5.801060414120672
98,0.5419412191581997,3.826778846153846,1.269119230769229,0.6119513206630561,0.9850916266441344,47.70678901672363,"('A30', 'B13')",81.0,0.3977435293787634,0.5329180415436852,2.0294631718735947,6.207120133456288,3.141130476243348,5.009901691742504
99,0.6139430978728448,17.99105769230769,7.440969230769221,0.6736660964636627,0.7258914709091187,206.2675170898437,"('A31', 'B13')",92.3,0.4748278948082133,1.8985136872727888,3.2402458506043934,6.2644072771746755,2.6932749155200555,4.014940539434832
100,0.5523988466347415,9.64346153846154,3.52107038461538,0.6609810226308206,1.121955394744873,119.69685745239258,"('A32', 'B13')",94.5,0.4326640503937349,1.7257997779119894,3.054001181677967,6.039540170339545,2.9796028916241073,4.533781589900438
101,0.6149525787817327,16.78451923076923,7.153615384615375,0.6930667332140056,0.5465410947799683,210.3163375854492,"('A33', 'B13')",90.9,0.4441888647701001,1.9177013562445944,1.8421356765531218,6.132464852829423,2.7568403652716422,4.056642695038089
102,1.07370381233332,23.61625,20.641695,0.814047831887953,0.7457088493817562,302.1597900390625,"('A1087', 'B3')",94.8,0.4657450211145358,1.7628906098675727,2.5160822672564502,6.259772650376566,3.1170645587215158,5.054014017398201
103,1.07380875823598,23.633875,20.82075,0.82041670260357,0.7457088493817562,305.1864929199219,"('A1090', 'B3')",95.0,0.4005477409392413,1.2686456627029858,1.128171090909654,6.1940175608061825,2.865053949911875,4.593401202388092
104,1.07858271907674,23.680125,20.989915,0.821813424970907,0.7457088493817562,352.4723358154297,"('A1106', 'B3')",98.2,0.4495850167890869,1.8077397550154133,2.7893229212309465,6.247501141724217,2.488234439880675,5.393309313903605
105,0.947217799573576,22.216125,17.2994,0.82207772330792,0.7457088493817562,363.2457733154297,"('A30', 'B770')",95.0,0.307681264561769,1.214510965577439,2.756205242989257,5.8719205869336815,2.7298116928837226,5.090554917272129
106,0.937916429544553,23.315625,17.9915,0.822727791702103,0.7457088493817562,333.26690673828125,"('A1087', 'B770')",98.4,0.3836563140808195,1.086654387640518,2.263844264677615,5.6937321388027,3.1175073304799117,5.075985985334385
107,0.936378867112289,21.219875,16.0779,0.80916091759014,0.7457088493817562,294.16387939453125,"('A1090', 'B770')",93.5,0.2835812461166669,0.845832375204477,2.468946630209271,5.560027571011063,2.60859812213055,4.321347323862031
108,0.953042845917508,21.96375,17.6463,0.843013910385518,0.7457088493817562,346.41783142089844,"('A1106', 'B770')",94.9,0.3364058250362782,0.8140510644137561,2.2213750375685026,5.662265794453267,2.6347624053323777,4.672174414768565
109,1.04546591405595,24.034625,20.65822,0.822139794035742,0.7457088493817562,353.8546905517578,"('A30', 'B772')",91.4,0.4111455474553925,1.8190321596422847,2.451005098112319,6.43952607451319,2.6071242825122494,4.162626069638506
110,0.833974291513192,18.19875,10.4839,0.690762333083177,0.3266535401344299,210.0936050415039,"('A525', 'B386')",82.5,0.3209785949206686,1.40961999488207,2.498973906999436,5.4772582151825135,2.1983350716202463,5.530103463243588
111,0.799167627113859,20.332,11.27184,0.693708205215509,0.7457088493817562,240.97146606445312,"('A1058', 'B3')",66.7,0.3419860641111923,1.5827296640741688,2.4336133554004498,5.737185012956527,2.1126345090356,6.006082186931363
112,1.00281346616283,22.56425,18.77601,0.829778633787981,0.7457088493817562,359.35655212402344,"('A1104', 'B1')",86.2,0.2912443311134763,1.0347741297656678,2.0744289998562917,5.455876516649401,3.26918863874179,5.616007169584166
113,1.03460570569076,22.09475,18.60518,0.813897875748036,0.7457088493817562,316.4782257080078,"('A1058', 'B6')",84.5,0.3731568626190597,1.7825429295771409,2.367436065313662,5.783055655550709,2.8914822521801917,6.016035201042187
114,0.978793702058942,21.754,18.50898,0.869265004188272,0.7457088493817562,322.0953063964844,"('A51', 'B12')",95.3,0.2048107102310019,0.1441197074935769,2.4570214462984645,5.786130216004954,2.9454910571172443,6.013592899180983
115,0.999948762104437,25.09525,20.46051,0.815355830573224,0.7457088493817562,320.6391296386719,"('A1021', 'B1')",87.3,0.3145988621526024,0.4272441909318276,2.533696813957432,6.437927634250219,2.67827804276854,4.146937012341271
